sop_class_uid,sop_class_name,role,supported,source_pdf,page
1.2.840.10008.5.1.4.1.1.88.59,Key Object Selection Document,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.88.67,X-Ray Radiation Dose SR Storage,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.88.68,Radiopharmaceutical Radiation,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.128,Positron Emission Tomography,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.481.4,RT Beams Treatment Record,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.481.6,Radio Therapy Brachy Treatment,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.481.7,RT Treatment Summary Record,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.481.8,RT Ion Plan Storage,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.1.1.481.9,RT Ion Beams Treatment Record,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.38.1,Hanging Protocol Storage,SCP,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.1.20.1,Storage Commitment Push,SCU,yes,DCS_MR_XA60.pdf,5
1.2.840.10008.5.1.4.31,Modality Worklist Information,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.3.1.2.3.3,Modality Performed Procedure,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.4.1.2.2.1,Study Root Query/Retrieve -,SCU/SCP,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.4.1.2.2.2,Study Root Query/Retrieve -,SCU/SCP,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.4.1.2.3.1,Query/Retrieve - Information,SCU/SCP,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.4.1.2.3.2,Query/Retrieve - Information,SCU/SCP,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.1.9,Basic Grayscale Print,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.1.18,Basic Color Print Management,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.1.1,Basic Film Sesssion SOP Class,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.1.2,Basic Film Box SOP Class,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.1.4,Basic Grayscale Image Box SOP,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.1.4.1,Basic Color Image Box SOP Class,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.1.16,Printer SOP Class,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.1.14,Print Job SOP Class,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.5.1.1.23,Presentation LUT SOP Class,SCU,yes,DCS_MR_XA60.pdf,6
1.2.840.10008.1.2.4.70,"JPEG Lossless, Non-Hierarchical, First-Order Prediction (Process",SCU,yes,DCS_MR_XA60.pdf,64
