filename,title,description,language,modality,body_region,file_size_bytes
Radiografía de tórax-50144,Radiografía de tórax-50144,,en,Other,General,4450
Radiografía de tórax,Radiografía de tórax,,en,Other,General,4406
Right Wrist Xray,Right Wrist Xray,,en,Xray,General,4133
RM Addome,RM Addome,,en,Other,General,814
RM RETTO (PRIMA STADIAZIONE NEOPLASIA),RM RETTO (PRIMA STADIAZIONE NEOPLASIA),,en,Other,General,745
RTG czaszki,RTG czaszki,,en,Other,General,4273
RTG Jamy brzusznej-50116,RTG Jamy brzusznej-50116,,en,Other,General,10606
RTG jamy brzusznej,RTG jamy brzusznej,,en,Other,General,7840
RTG nadgarstka,RTG nadgarstka,,en,Other,General,11284
RTG stawu skokowego-50117,RTG stawu skokowego-50117,,en,Other,General,7774
RTG stawu skokowego,RTG stawu skokowego,,en,Other,General,7765
RX de Tórax,RX de Tórax,,en,Other,General,4404
RX TÓRAX NORMAL,rx t&oacute;rax,rx t&oacute;rax normal,es,Other,General,3300
RX de Tórax,RX de Tórax,,en,Other,General,5525
Röntgenfoto van de thorax,Röntgenfoto van de thorax,,en,Other,Chest,176
Scanner cervical ,Scanner cervico-facial ,,fr,CT,General,6716
Scanner cérvical,CT Neck,"CT Neck template :: Authored by Phillips CD, et al.",fr,CT,General,8879
Serie Abdominal-50141,Serie Abdominal-50141,,en,Other,Abdomen,5032
Serie Abdominal,Serie Abdominal,,en,Other,Abdomen,5030
Shoulder Radiographs,Shoulder Radiographs,,en,Xray,General,283
Shoulder Xray,Shoulder Xray,,en,Xray,General,3180
Skeletal Survey,Skeletal Survey,,en,Other,General,4855
Skull Xray,Skull Xray,,en,Xray,Head/Brain,3285
Small Bowel,Small Bowel,,en,Other,General,4552
TC Collo,TC Collo,,en,Other,General,541
TC Cálculos Renales-50142,TC Cálculos Renales-50142,,en,Other,General,5398
TC Cálculos Renales,TC Cálculos Renales,,en,Other,General,5440
TC FEGATO ,TC FEGATO ,,en,Other,General,825
TC TORACE ADDOME,TC TORACE ADDOME,,en,Other,General,902
TC Torace,TC Torace,,en,Other,General,5770
Tc-99m WBC Scan,Tc-99m WBC Scan,,en,CT,General,3374
TC de Adrenais,TC de Adrenais,,en,Other,General,2389
Thorax-RTG,Thorax-RTG,,en,Other,Chest,349
Thoraxfoto,Thoraxfoto,,en,Other,Chest,4498
Thorax CT Lungenembolie,Thorax CT Lungenembolie,,en,CT,Chest,13834
TK jamy brzusznej,TK jamy brzusznej,,en,Other,General,6169
TK kamica nerkowa,TK Kamica nerkowa,"TK Kamica nerkowa szablon :: Authored by Heilbrun ME, et al.",pl,Other,General,17095
TK mózgu (perfuzja),TK mózgu (perfuzja),,en,Other,General,35217
TK mózgu,TK mózgu,,en,Other,General,34981
Trophoblastic Diseases CT,Trophoblastic Diseases CT,,en,Other,General,12765
Trophoblastic Diseases MRI,Trophoblastic Diseases MRI,,en,MRI,General,13421
Tubercolosi,Tubercolosi,,en,Other,General,1308
Tüm Batın,Tüm Batın,,en,Other,General,440
Ultrasound Scrotal,Ultrasound Scrotal,Scrotal Ultrasound,en,Ultrasound,General,8332
Upper GI,Upper GI,,en,Other,General,5350
US - 1st Trimester,First Trimester Sonogram,,en,Other,General,12120
US Bladder,US Bladder,,en,Ultrasound,Pelvis,3234
US Carotid Arteries (with Stenosis Calculator),US Carotid Arteries (with Stenosis Calculator),,en,Ultrasound,General,17537
US Carotid Arteries,US Carotid Arteries,,en,Ultrasound,General,10957
US Early Pregnancy,US Early Pregnancy,,en,Ultrasound,General,5125
US Hüftscreening (US hip screening),Ultraschall Hüftscreening,Befundungstemplate zur Befundung von Untersuchungen im Rahmen des Ultraschallscreenings Hüftdysplasie. Enthält Javascript zur automatischen Unterstützung der Klassifizierung von Hüfttypen anhand der a,de,Other,General,19213
US Kidney Biopsy Guidance,US Kidney Biopsy Guidance,,en,Ultrasound,Abdomen,3156
US Kidneys,US Kidneys,,en,Ultrasound,Abdomen,7847
US Left Upper Extremity,US Left Upper Extremity,,en,Ultrasound,Extremity,3660
US Liver - TIPS,US Liver - TIPS,,en,Ultrasound,Abdomen,6095
US Liver Biopsy,US Liver Biopsy,,en,Ultrasound,Abdomen,4172
US Neonatal Head,Neonatal Head Ultrasound,,en,Ultrasound,Head/Brain,5932
US Pancreas Transplant,US Pancreas Transplant,,en,Ultrasound,Abdomen,5222
US Paracentesis,US Paracentesis,,en,Ultrasound,General,6368
US Pelvis-50531,US Pelvis,,en,Ultrasound,Pelvis,11253
US Pelvis,US Pelvis,,en,Ultrasound,Pelvis,6584
US Scrotum-50532,US Scrotum,,en,Ultrasound,General,8695
US Scrotum,US Scrotum,,en,Ultrasound,General,3716
US Thoracentesis,US Thoracentesis,,en,Ultrasound,General,6438
US Thyroid FNA,US Thyroid FNA,,en,Ultrasound,General,4392
US Thyroid,US Thyroid,,en,Ultrasound,General,8532
US Tiroide,US Tiroide,,en,Ultrasound,General,4349
US Torasentez (Ultrason),US Torasentez (Ultrason),,en,Ultrasound,General,945
Uszkodzenie nerek według skali AAST,Uszkodzenie nerek według skali AAST,,en,Other,General,4856
Uterine Malformations MRI,Uterine Malformations MRI,,en,MRI,General,21740
Vaginal Cancer MRI,Vaginal Cancer MRI,,en,MRI,General,18337
Vertebra MRG,Vertebra MRG,,en,Other,General,3333
Vesico-ureteraal reflux,Vesico-ureteraal reflux,,en,Other,General,5001
Vulvar Cancer MRI,Vulvar Cancer MRI,,en,MRI,General,18531
White Blood Cell Scan,White Blood Cell Scan,,en,CT,General,3644
Wrist Xray,Wrist Xray,,en,Xray,General,4544
Xray Ankle and Foot Fracture - Pediatric,Xray Foot and Ankle - Pediatric,,en,Xray,Extremity,31775
XRay Wrist-Hand - Avulsion Fracture,XRay Wrist/Hand - Avulsion Fracture,Template used to record diagnosis of avulsion fracture from XRay of the wrist and hand.,en,Xray,Extremity,15919
Zatoki przynosowe,Zatoki przynosowe,,en,Other,General,5201
Zevalin In-111 Imaging,Zevalin In-111 Imaging,,en,Other,General,3873
Αξονική Πυελογραφία,Αξονική Πυελογραφία,,en,Other,General,4765
Αξονική τομογραφία άνω κοιλίας,Αξονική τομογραφία άνω κοιλίας,,en,Other,General,5740
Αξονική τομογραφία κάτω κοιλίας άνδρα,Αξονική τομογραφία κάτω κοιλίας άνδρα,,en,Other,General,2681
Αξονική τομογραφία κάτω κοιλίας γυναίκας,Αξονική τομογραφία κάτω κοιλίας γυναίκας,,en,Other,General,3711
Πολυπαραμετρική μαγνητική τομογραφία του προστάτη αδένα,mpMRI του αδένα του προστάτη,Template created according to PI-RADS v.2,el,MRI,General,50989
"Υπερηχογράφημα άνω και κάτω κοιλίας, ανδρών, φυσιολογικό","Υπερηχογράφημα άνω και κάτω κοιλίας, ανδρών, φυσιολογικό",,en,Other,General,7094
"Υπερηχογράφημα άνω και κάτω κοιλίας, γυναικών, φυσιολογικό","Υπερηχογράφημα άνω και κάτω κοιλίας, γυναικών, φυσιολογικό",,en,Other,General,7115
"Υπερηχογράφημα αρτηριών κάτω άκρων, φυσιολογικό","Υπερηχογράφημα αρτηριών κάτω άκρων, φυσιολογικό",,en,Other,General,3318
"Υπερηχογράφημα θυρεοειδούς, φυσιολογικό","Υπερηχογράφημα θυρεοειδούς, φυσιολογικό",,en,Other,General,1639
"Υπερηχογράφημα καρωτίδων και σπονδυλικών αρτηριών, φυσιολογικό","Υπερηχογράφημα καρωτίδων και σπονδυλικών αρτηριών, φυσιολογικό",,en,Other,General,2975
"Υπερηχογράφημα οσχέου, φυσιολογικό","Υπερηχογράφημα οσχέου, φυσιολογικό",,en,Other,General,1809
"Υπερηχογράφημα φλεβών κάτω άκρων, φυσιολογικό","Υπερηχογράφημα φλεβών κάτω άκρων, φυσιολογικό",,en,Other,General,3282
Голеностопный сустав,Рентгенография голеностопного сустава ,Рентгенография голеностопного сустава (норма),ru,Other,General,7131
"צלום בית חזה, 2 מבטים","צלום בית חזה, 2 מבטים",,en,Other,General,15251
صورة الصدر البسيطة,صورة الصدر البسيطة,,en,Other,General,360
数字化乳腺X线摄影（ACRIN 6652 -的DMIST）,数字化乳腺X线摄影（ACRIN 6652 -的DMIST）,,en,Other,General,200
肘部磁共振,肘部磁共振,,en,Other,General,2598
胸部X光,胸部X光,,en,Other,General,5412
脑计算机断层扫描,脑计算机断层扫描,,en,Other,General,1905
腹部X光,腹部X光,,en,Other,General,3239
腹部超声波,腹部超声波,,en,Other,General,1523
膝磁共振,膝磁共振,,en,Other,General,2993
超声 腹膜后,超声 腹膜后,,en,Other,General,1042
超声引导下胸腔穿刺,超声引导下胸腔穿刺,,en,Other,General,945
踝关节X光,踝关节X光,,en,Other,General,493
骨龄,骨龄,,en,Other,General,618
